Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name,Crop Yield
26.0,52.0,38.0,Sandy,Maize,37,0,0,Urea,4609
29.0,52.0,45.0,Loamy,Sugarcane,12,0,36,DAP,6456
34.0,65.0,62.0,Black,Cotton,7,9,30,14-35-14,1058
32.0,62.0,34.0,Red,Tobacco,22,0,20,28-28,2434
28.0,54.0,46.0,Clayey,Paddy,35,0,0,Urea,4125
26.0,52.0,35.0,Sandy,Barley,12,10,13,17-17-17,2381
25.0,50.0,64.0,Red,Cotton,9,0,10,20-20,1760
33.0,64.0,50.0,Loamy,Wheat,41,0,0,Urea,2557
30.0,60.0,42.0,Sandy,Millets,21,0,18,28-28,1855
29.0,58.0,33.0,Black,Oil seeds,9,7,30,14-35-14,2717
27.0,54.0,28.0,Clayey,Pulses,13,0,40,DAP,1209
31.0,62.0,48.0,Sandy,Maize,14,15,12,17-17-17,3641
25.0,50.0,65.0,Loamy,Cotton,36,0,0,Urea,1741
32.0,62.0,41.0,Clayey,Paddy,24,0,22,28-28,5490
26.0,52.0,31.0,Red,Ground Nuts,14,0,41,DAP,2243
31.0,62.0,49.0,Black,Sugarcane,10,13,14,17-17-17,6552
33.0,64.0,34.0,Clayey,Pulses,38,0,0,Urea,1591
25.0,50.0,39.0,Sandy,Barley,21,0,19,28-28,2103
28.0,54.0,65.0,Black,Cotton,39,0,0,Urea,1513
29.0,58.0,52.0,Loamy,Wheat,13,0,36,DAP,3430
30.0,60.0,44.0,Sandy,Millets,10,0,9,20-20,2463
34.0,65.0,53.0,Loamy,Sugarcane,12,14,12,17-17-17,9078
35.0,68.0,33.0,Red,Tobacco,11,0,37,DAP,2010
28.0,54.0,37.0,Black,Millets,36,0,0,Urea,2358
33.0,64.0,39.0,Clayey,Paddy,13,0,10,20-20,4833
26.0,52.0,44.0,Sandy,Maize,23,0,20,28-28,4356
30.0,60.0,63.0,Red,Cotton,9,9,29,14-35-14,1770
32.0,62.0,30.0,Loamy,Sugarcane,38,0,0,Urea,8392
37.0,70.0,32.0,Black,Oil seeds,12,0,39,DAP,2247
26.0,52.0,36.0,Clayey,Pulses,14,0,13,20-20,2307
29.0,58.0,40.0,Red,Ground Nuts,24,0,23,28-28,1762
30.0,60.0,27.0,Loamy,Sugarcane,12,0,40,DAP,9135
34.0,65.0,38.0,Clayey,Paddy,39,0,0,Urea,4864
36.0,68.0,38.0,Sandy,Barley,7,9,30,14-35-14,2032
26.0,52.0,48.0,Loamy,Wheat,23,0,19,28-28,2519
28.0,54.0,35.0,Black,Millets,41,0,0,Urea,2773
30.0,60.0,61.0,Loamy,Cotton,8,10,31,14-35-14,1725
37.0,70.0,37.0,Clayey,Paddy,12,0,41,DAP,5325
25.0,50.0,26.0,Red,Ground Nuts,15,14,11,17-17-17,1587
29.0,58.0,34.0,Sandy,Millets,15,0,37,DAP,2236
27.0,54.0,30.0,Clayey,Pulses,13,0,13,20-20,1904
30.0,60.0,58.0,Loamy,Sugarcane,10,7,32,14-35-14,6129
32.0,62.0,34.0,Red,Tobacco,22,0,24,28-28,2373
34.0,65.0,60.0,Black,Sugarcane,35,0,0,Urea,9636
35.0,67.0,42.0,Sandy,Barley,10,0,35,DAP,2504
38.0,70.0,48.0,Loamy,Wheat,8,8,28,14-35-14,3389
26.0,52.0,32.0,Black,Oil seeds,12,0,8,20-20,2107
29.0,58.0,43.0,Clayey,Paddy,24,0,18,28-28,5597
30.0,60.0,29.0,Red,Ground Nuts,41,0,0,Urea,2089
33.0,64.0,51.0,Sandy,Maize,5,9,29,14-35-14,4511
34.0,65.0,31.0,Red,Tobacco,23,0,21,28-28,2144
36.0,68.0,33.0,Black,Oil seeds,13,0,14,20-20,1714
28.0,54.0,38.0,Clayey,Pulses,40,0,0,Urea,1642
30.0,60.0,47.0,Sandy,Barley,12,0,42,DAP,2840
31.0,62.0,63.0,Red,Cotton,11,12,15,17-17-17,1820
27.0,53.0,43.0,Black,Millets,23,0,24,28-28,1544
34.0,65.0,54.0,Loamy,Wheat,38,0,0,Urea,3496
29.0,58.0,37.0,Sandy,Millets,8,0,15,20-20,1649
25.0,50.0,56.0,Loamy,Sugarcane,11,13,15,17-17-17,9129
32.0,62.0,34.0,Red,Ground Nuts,15,0,37,DAP,2995
28.0,54.0,41.0,Clayey,Paddy,36,0,0,Urea,4557
30.0,60.0,49.0,Loamy,Wheat,13,0,9,20-20,3289
34.0,65.0,64.0,Black,Cotton,24,0,20,28-28,1487
28.0,54.0,47.0,Sandy,Barley,5,18,15,10-26-26,2142
27.0,53.0,35.0,Black,Oil seeds,37,0,0,Urea,1586
36.0,68.0,62.0,Red,Cotton,15,0,40,DAP,1898
34.0,65.0,57.0,Black,Sugarcane,9,0,13,20-20,6413
29.0,58.0,55.0,Loamy,Sugarcane,8,8,33,14-35-14,8695
25.0,50.0,40.0,Clayey,Pulses,6,19,16,10-26-26,2239
30.0,60.0,38.0,Sandy,Millets,10,0,14,20-20,2852
26.0,52.0,39.0,Clayey,Pulses,21,0,23,28-28,1899
31.0,62.0,32.0,Red,Tobacco,39,0,0,Urea,1504
34.0,65.0,48.0,Loamy,Wheat,23,0,19,28-28,3035
27.0,53.0,34.0,Black,Oil seeds,42,0,0,Urea,1865
33.0,64.0,31.0,Red,Ground Nuts,13,0,39,DAP,1857
29.0,58.0,42.0,Clayey,Paddy,9,10,22,14-35-14,4584
30.0,60.0,47.0,Sandy,Maize,22,0,21,28-28,3161
27.0,53.0,59.0,Loamy,Sugarcane,10,0,15,20-20,9501
26.0,52.0,36.0,Clayey,Pulses,7,16,20,10-26-26,2447
34.0,65.0,63.0,Red,Cotton,14,0,38,DAP,1525
28.0,54.0,43.0,Clayey,Paddy,10,8,29,14-35-14,4375
30.0,60.0,40.0,Sandy,Millets,41,0,0,Urea,1789
29.0,58.0,65.0,Black,Cotton,14,0,35,DAP,1654
26.0,52.0,59.0,Loamy,Sugarcane,11,0,9,20-20,7231
31.0,62.0,44.0,Sandy,Barley,21,0,28,28-28,2720
35.0,67.0,28.0,Clayey,Pulses,8,7,31,14-35-14,2292
29.0,58.0,30.0,Red,Tobacco,13,17,16,10-26-26,1665
27.0,53.0,30.0,Black,Millets,35,0,0,Urea,2215
36.0,68.0,50.0,Loamy,Wheat,12,18,19,10-26-26,2508
29.0,58.0,61.0,Loamy,Cotton,11,0,38,DAP,1252
30.0,60.0,26.0,Black,Oil seeds,8,9,30,14-35-14,1706
34.0,65.0,45.0,Clayey,Paddy,6,19,21,10-26-26,5803
36.0,68.0,41.0,Red,Ground Nuts,41,0,0,Urea,2071
28.0,54.0,25.0,Sandy,Maize,9,10,30,14-35-14,3338
25.0,50.0,32.0,Clayey,Pulses,24,0,19,28-28,1078
30.0,60.0,27.0,Red,Tobacco,4,17,17,10-26-26,2423
38.0,72.0,51.0,Loamy,Wheat,39,0,0,Urea,3269
36.0,60.0,43.0,Sandy,Millets,15,0,41,DAP,1515
29.0,58.0,57.0,Black,Sugarcane,12,0,10,20-20,9838
27.58,59.21,31.27,Loamy,Cotton,20,2,15,DAP,1095
27.45,66.38,50.14,Black,Millets,9,12,14,28-28,1931
27.25,63.62,40.35,Black,Wheat,28,0,22,Urea,2694
28.84,58.91,33.06,Clayey,Millets,8,9,28,17-17-17,2086
25.86,48.46,46.25,Red,Ground Nuts,40,2,0,28-28,1932
25.59,63.6,46.33,Clayey,Cotton,11,0,11,28-28,1175
29.17,68.19,30.65,Sandy,Oil seeds,6,4,14,Urea,2467
36.05,73.59,58.17,Red,Millets,9,14,11,17-17-17,1802
26.76,64.22,53.63,Sandy,Ground Nuts,5,8,30,28-28,1809
27.66,53.58,40.96,Red,Cotton,41,0,3,20-20,1937
28.27,52.88,43.3,Black,Wheat,40,0,0,10-26-26,3207
38.39,69.51,65.09,Clayey,Oil seeds,8,1,16,Urea,2257
28.74,56.8,54.07,Loamy,Cotton,15,0,35,DAP,1574
30.63,63.88,38.71,Loamy,Paddy,19,4,28,DAP,5222
26.02,52.46,31.12,Loamy,Barley,11,5,12,10-26-26,2455
34.71,64.94,52.62,Sandy,Oil seeds,9,22,21,14-35-14,2598
23.71,51.25,30.5,Black,Oil seeds,11,0,8,17-17-17,1844
30.63,61.45,23.18,Black,Maize,37,2,4,17-17-17,3325
23.63,52.62,31.03,Clayey,Sugarcane,12,13,13,14-35-14,7778
27.65,58.09,69.07,Clayey,Oil seeds,16,3,32,10-26-26,1537
31.19,60.94,30.51,Black,Paddy,12,0,36,Urea,4401
37.12,72.87,47.06,Sandy,Tobacco,45,2,0,Urea,2072
33.52,60.46,47.85,Black,Pulses,7,15,16,DAP,2471
29.44,59.34,55.51,Loamy,Sugarcane,10,3,31,17-17-17,6915
33.24,69.48,65.48,Clayey,Cotton,8,13,28,10-26-26,1763
20.85,53.18,43.77,Loamy,Tobacco,2,20,19,Urea,2496
38.42,73.97,50.41,Loamy,Sugarcane,11,1,36,DAP,7549
29.04,71.09,21.12,Sandy,Maize,34,0,3,14-35-14,4000
23.59,55.82,62.92,Red,Sugarcane,39,0,0,Urea,7594
38.56,73.46,30.62,Black,Pulses,11,0,32,28-28,1145
30.87,63.94,46.2,Sandy,Cotton,15,0,8,Urea,1600
25.83,51.1,59.57,Sandy,Maize,38,4,0,Urea,4336
34.51,63.92,70.0,Loamy,Sugarcane,14,0,35,17-17-17,7585
31.92,62.59,27.78,Sandy,Pulses,18,0,25,DAP,2127
28.43,58.72,43.9,Sandy,Sugarcane,13,16,11,20-20,9701
27.53,55.04,57.07,Sandy,Pulses,4,0,14,28-28,1085
24.53,67.4,48.49,Red,Paddy,8,9,18,20-20,5366
30.82,51.91,54.23,Red,Wheat,15,4,33,14-35-14,3011
32.53,59.45,20.16,Loamy,Cotton,9,15,16,17-17-17,1564
28.17,58.69,34.11,Sandy,Cotton,12,8,33,20-20,1231
29.25,54.52,41.4,Clayey,Paddy,35,0,0,28-28,5768
22.26,51.36,48.36,Loamy,Tobacco,6,16,17,Urea,1589
30.76,66.64,56.32,Red,Ground Nuts,41,3,4,28-28,2317
27.84,66.53,36.89,Loamy,Sugarcane,7,11,20,Urea,8181
29.21,64.21,54.95,Red,Wheat,7,11,31,14-35-14,2512
26.01,59.52,35.75,Loamy,Pulses,11,13,15,28-28,1126
29.5,55.42,51.17,Red,Cotton,23,0,23,10-26-26,1293
32.98,62.02,33.12,Red,Wheat,40,0,0,10-26-26,3457
24.24,59.04,50.07,Loamy,Barley,38,0,1,Urea,2135
33.54,59.28,52.09,Clayey,Wheat,21,3,20,20-20,3490
34.43,72.28,62.22,Clayey,Ground Nuts,35,4,0,17-17-17,2460
32.19,68.94,67.37,Sandy,Barley,15,0,33,20-20,2772
32.55,71.46,67.14,Clayey,Oil seeds,5,7,32,20-20,2605
28.38,52.02,43.83,Loamy,Wheat,13,0,38,10-26-26,3359
25.4,43.57,38.51,Red,Maize,36,0,0,28-28,4174
33.8,52.28,53.31,Clayey,Millets,12,15,15,28-28,2042
28.38,47.58,34.86,Black,Paddy,20,0,20,28-28,4234
